event_id,session_id,packet_id,unit_id,pulse_role,onset_sample,duration_samples,end_sample_exclusive,logical_channel,channel_role,motif_id,motif_hash,motif_source_order,identity_mode,relative_event_gain,gain_source
s01_p0000_e00,1,s01_p0000,s01_p0000_u00,packet_start,0,679,679,5,support,residual_supplement_017,50b0141b2cfc5413e8c27a71c88a34b0f1e3441bf4526824a20a829d900eb352,77,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0000_e01,1,s01_p0000,s01_p0000_u01,packet_continuation,1444,679,2123,7,support,residual_supplement_017,50b0141b2cfc5413e8c27a71c88a34b0f1e3441bf4526824a20a829d900eb352,77,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0000_e02,1,s01_p0000,s01_p0000_u02,packet_continuation,4579,794,5373,6,support,medoid_64_042,2c80d0e47b6ce4b141806d270cd1d9f91d2082bbdaae9cc0a8d13e4d8383facc,42,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0000_e03,1,s01_p0000,s01_p0000_u03,packet_continuation,7634,794,8428,0,support,medoid_64_042,2c80d0e47b6ce4b141806d270cd1d9f91d2082bbdaae9cc0a8d13e4d8383facc,42,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0000_e04,1,s01_p0000,s01_p0000_u04,packet_continuation,10481,1517,11998,0,support,medoid_64_012,82fcab7fc2e528c81cb2979b1aa5f70281946f608a38808e2c85cccd157f6af4,12,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0000_e05,1,s01_p0000,s01_p0000_u05,packet_continuation,13170,1517,14687,1,support,medoid_64_012,82fcab7fc2e528c81cb2979b1aa5f70281946f608a38808e2c85cccd157f6af4,12,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0000_e06,1,s01_p0000,s01_p0000_u06,packet_continuation,15352,1218,16570,0,support,medoid_64_011,75b7fe86217233c8df1dc20f3e4df6a42178674e64aeb3a969f1998555d7c2a9,11,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0000_e07,1,s01_p0000,s01_p0000_u07,packet_continuation,17656,1218,18874,1,support,medoid_64_011,75b7fe86217233c8df1dc20f3e4df6a42178674e64aeb3a969f1998555d7c2a9,11,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0001_e00,1,s01_p0001,s01_p0001_u00,packet_start,23175,794,23969,2,focus,medoid_64_042,2c80d0e47b6ce4b141806d270cd1d9f91d2082bbdaae9cc0a8d13e4d8383facc,42,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0001_e01,1,s01_p0001,s01_p0001_u01,packet_continuation,25281,1015,26296,3,support,residual_supplement_015,53626183dbf4bbc422fec27cd78a68b4b73291b2240594587d2d50bd5a3daa05,75,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0001_e02,1,s01_p0001,s01_p0001_u02,packet_continuation,27317,1015,28332,4,support,residual_supplement_015,53626183dbf4bbc422fec27cd78a68b4b73291b2240594587d2d50bd5a3daa05,75,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0001_e03,1,s01_p0001,s01_p0001_u03,packet_continuation,29890,1015,30905,5,support,residual_supplement_015,53626183dbf4bbc422fec27cd78a68b4b73291b2240594587d2d50bd5a3daa05,75,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0001_e04,1,s01_p0001,s01_p0001_u04,packet_continuation,33093,355,33448,6,support,residual_supplement_019,6315d9ed8bb5a603a0f67a6ea8e16a2145c6a4bb9a6301e772d9baa8b13a0e66,79,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0001_e05,1,s01_p0001,s01_p0001_u05,packet_continuation,35366,355,35721,7,support,residual_supplement_019,6315d9ed8bb5a603a0f67a6ea8e16a2145c6a4bb9a6301e772d9baa8b13a0e66,79,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0002_e00,1,s01_p0002,s01_p0002_u00,packet_start,43637,275,43912,4,support,medoid_64_059,700241c81f50131241010c1e793e2c07d748fcee25e1c2c0e4f237a869c9b877,59,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0002_e01,1,s01_p0002,s01_p0002_u01,packet_continuation,45749,355,46104,3,support,residual_supplement_019,6315d9ed8bb5a603a0f67a6ea8e16a2145c6a4bb9a6301e772d9baa8b13a0e66,79,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0002_e02,1,s01_p0002,s01_p0002_u02,packet_continuation,48518,355,48873,4,support,residual_supplement_019,6315d9ed8bb5a603a0f67a6ea8e16a2145c6a4bb9a6301e772d9baa8b13a0e66,79,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0002_e03,1,s01_p0002,s01_p0002_u03,packet_continuation,51534,355,51889,5,support,residual_supplement_019,6315d9ed8bb5a603a0f67a6ea8e16a2145c6a4bb9a6301e772d9baa8b13a0e66,79,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0002_e04,1,s01_p0002,s01_p0002_u04,packet_continuation,54111,355,54466,4,support,residual_supplement_019,6315d9ed8bb5a603a0f67a6ea8e16a2145c6a4bb9a6301e772d9baa8b13a0e66,79,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0002_e05,1,s01_p0002,s01_p0002_u05,packet_continuation,56351,1641,57992,5,support,medoid_64_002,9078c84251c2dbc88ad0f18c6974aa5e5f885f4f092ef6452f9ab8303d338f41,2,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0002_e06,1,s01_p0002,s01_p0002_u06,packet_continuation,58598,1641,60239,7,support,medoid_64_002,9078c84251c2dbc88ad0f18c6974aa5e5f885f4f092ef6452f9ab8303d338f41,2,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0002_e07,1,s01_p0002,s01_p0002_u07,packet_continuation,61584,1641,63225,2,focus,medoid_64_002,9078c84251c2dbc88ad0f18c6974aa5e5f885f4f092ef6452f9ab8303d338f41,2,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0003_e00,1,s01_p0003,s01_p0003_u00,packet_start,57369,191,57560,5,support,residual_supplement_006,4d2127775486ebed85ba754b893404c7e2da74682fb7b504ed5d9af26424e82b,68,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0003_e01,1,s01_p0003,s01_p0003_u01,packet_continuation,60259,191,60450,5,support,residual_supplement_006,4d2127775486ebed85ba754b893404c7e2da74682fb7b504ed5d9af26424e82b,68,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0003_e02,1,s01_p0003,s01_p0003_u02,packet_continuation,62994,191,63185,6,support,residual_supplement_006,4d2127775486ebed85ba754b893404c7e2da74682fb7b504ed5d9af26424e82b,68,exact_frozen_identity,1.0,provisional_identity_1_0
s01_p0003_e03,1,s01_p0003,s01_p0003_u03,packet_continuation,65938,191,66129,5,support,residual_supplement_006,4d2127775486ebed85ba754b893404c7e2da74682fb7b504ed5d9af26424e82b,68,exact_frozen_identity,1.0,provisional_identity_1_0
